commodity,Currency,Unit,Year,Value,
Gold, US dollars,$/oz = 28.34 grams,1978,226.0,
Gold, US dollars,$/oz = 28.34 grams,1979,512.0,
Gold, US dollars,$/oz = 28.34 grams,1980,589.8,
Gold, US dollars,$/oz = 28.34 grams,1981,397.5,
Gold, US dollars,$/oz = 28.34 grams,1982,456.9,
Gold, US dollars,$/oz = 28.34 grams,1983,382.4,
Gold, US dollars,$/oz = 28.34 grams,1984,308.3,
Gold, US dollars,$/oz = 28.34 grams,1985,326.8,
Gold, US dollars,$/oz = 28.34 grams,1986,388.8,
Gold, US dollars,$/oz = 28.34 grams,1987,484.1,
Gold, US dollars,$/oz = 28.34 grams,1988,410.3,
Gold, US dollars,$/oz = 28.34 grams,1989,398.6,
Gold, US dollars,$/oz = 28.34 grams,1990,386.2,
Gold, US dollars,$/oz = 28.34 grams,1991,353.2,
Gold, US dollars,$/oz = 28.34 grams,1992,332.9,
Gold, US dollars,$/oz = 28.34 grams,1993,391.8,
Gold, US dollars,$/oz = 28.34 grams,1994,383.3,
Gold, US dollars,$/oz = 28.34 grams,1995,387.0,
Gold, US dollars,$/oz = 28.34 grams,1996,369.3,
Gold, US dollars,$/oz = 28.34 grams,1997,290.2,
Gold, US dollars,$/oz = 28.34 grams,1998,287.8,
Gold, US dollars,$/oz = 28.34 grams,1999,290.3,
Gold, US dollars,$/oz = 28.34 grams,2000,274.5,
Gold, US dollars,$/oz = 28.34 grams,2001,276.5,
Gold, US dollars,$/oz = 28.34 grams,2002,347.2,
Gold, US dollars,$/oz = 28.34 grams,2003,416.3,
Gold, US dollars,$/oz = 28.34 grams,2004,435.6,
Gold, US dollars,$/oz = 28.34 grams,2005,513.0,
Gold, US dollars,$/oz = 28.34 grams,2006,632.0,
Gold, US dollars,$/oz = 28.34 grams,2007,833.8,
Gold, US dollars,$/oz = 28.34 grams,2008,869.8,
Gold, US dollars,$/oz = 28.34 grams,2009,1087.5,
Gold, US dollars,$/oz = 28.34 grams,2010,1405.5,
Gold, US dollars,$/oz = 28.34 grams,2011,1531.0,
Gold, US dollars,$/oz = 28.34 grams,2012,1657.5,
Gold, US dollars,$/oz = 28.34 grams,2013,1204.5,
Gold, US dollars,$/oz = 28.34 grams,2014,1206.0,
Gold, US dollars,$/oz = 28.34 grams,2015,1060.0,
Gold, US dollars,$/oz = 28.34 grams,2016,1145.9,
Gold, US dollars,$/oz = 28.34 grams,2017,1291.0,
