Month,numericMonth,Year,gasPrices
April,1,1993,1.078
May,2,1993,1.1
June,3,1993,1.097
July,4,1993,1.078
August,5,1993,1.062
September,6,1993,1.05
October,7,1993,1.092
November,8,1993,1.066
December,9,1993,1.014
January,10,1994,0.998
February,11,1994,1.009
March,12,1994,1.008
April,13,1994,1.027
May,14,1994,1.047
June,15,1994,1.078
July,16,1994,1.106
August,17,1994,1.155
September,18,1994,1.144
October,19,1994,1.114
November,20,1994,1.119
December,21,1994,1.129
January,22,1995,1.13
February,23,1995,1.12
March,24,1995,1.119
April,25,1995,1.157
May,26,1995,1.225
June,27,1995,1.239
July,28,1995,1.201
August,29,1995,1.17
September,30,1995,1.158
October,31,1995,1.134
November,32,1995,1.109
December,33,1995,1.118
January,34,1996,1.137
February,35,1996,1.136
March,36,1996,1.183
April,37,1996,1.275
May,38,1996,1.324
June,39,1996,1.3
July,40,1996,1.272
August,41,1996,1.251
September,42,1996,1.247
October,43,1996,1.249
November,44,1996,1.278
December,45,1996,1.282
January,46,1997,1.283
February,47,1997,1.276
March,48,1997,1.251
April,49,1997,1.244
May,50,1997,1.245
June,51,1997,1.242
July,52,1997,1.22
August,53,1997,1.268
September,54,1997,1.276
October,55,1997,1.242
November,56,1997,1.216
December,57,1997,1.177
January,58,1998,1.132
February,59,1998,1.096
March,60,1998,1.064
April,61,1998,1.077
May,62,1998,1.105
June,63,1998,1.103
July,64,1998,1.094
August,65,1998,1.065
September,66,1998,1.049
October,67,1998,1.059
November,68,1998,1.036
December,69,1998,0.987
January,70,1999,0.98
February,71,1999,0.962
March,72,1999,1.022
April,73,1999,1.171
May,74,1999,1.171
June,75,1999,1.154
July,76,1999,1.197
August,77,1999,1.26
September,78,1999,1.295
October,79,1999,1.285
November,80,1999,1.292
December,81,1999,1.313
January,82,2000,1.329
February,83,2000,1.415
March,84,2000,1.556
April,85,2000,1.506
May,86,2000,1.526
June,87,2000,1.666
July,88,2000,1.591
August,89,2000,1.506
September,90,2000,1.588
October,91,2000,1.571
November,92,2000,1.557
December,93,2000,1.483
January,94,2001,1.487
February,95,2001,1.49
March,96,2001,1.45
April,97,2001,1.591
May,98,2001,1.738
June,99,2001,1.658
July,100,2001,1.466
August,101,2001,1.461
September,102,2001,1.557
October,103,2001,1.357
November,104,2001,1.212
December,105,2001,1.127
January,106,2002,1.148
February,107,2002,1.155
March,108,2002,1.289
April,109,2002,1.439
May,110,2002,1.434
June,111,2002,1.424
July,112,2002,1.438
August,113,2002,1.438
September,114,2002,1.441
October,115,2002,1.486
November,116,2002,1.461
December,117,2002,1.429
January,118,2003,1.5
February,119,2003,1.655
March,120,2003,1.734
April,121,2003,1.633
May,122,2003,1.539
June,123,2003,1.533
July,124,2003,1.554
August,125,2003,1.661
September,126,2003,1.721
October,127,2003,1.606
November,128,2003,1.555
December,129,2003,1.522
January,130,2004,1.614
February,131,2004,1.69
March,132,2004,1.778
April,133,2004,1.839
May,134,2004,2.023
June,135,2004,2.013
July,136,2004,1.954
August,137,2004,1.92
September,138,2004,1.912
October,139,2004,2.042
November,140,2004,2.023
December,141,2004,1.887
January,142,2005,1.875
February,143,2005,1.953
March,144,2005,2.12
April,145,2005,2.285
May,146,2005,2.205
June,147,2005,2.198
July,148,2005,2.333
August,149,2005,2.529
September,150,2005,2.951
October,151,2005,2.765
November,152,2005,2.303
December,153,2005,2.229
January,154,2006,2.36
February,155,2006,2.326
March,156,2006,2.468
April,157,2006,2.787
May,158,2006,2.953
June,159,2006,2.93
July,160,2006,3.025
August,161,2006,2.999
September,162,2006,2.606
October,163,2006,2.293
November,164,2006,2.275
December,165,2006,2.359
January,166,2007,2.289
February,167,2007,2.323
March,168,2007,2.609
April,169,2007,2.891
May,170,2007,3.187
June,171,2007,3.102
July,172,2007,3.011
August,173,2007,2.834
September,174,2007,2.849
October,175,2007,2.853
November,176,2007,3.128
December,177,2007,3.07
January,178,2008,3.095
February,179,2008,3.078
March,180,2008,3.293
April,181,2008,3.507
May,182,2008,3.815
June,183,2008,4.105
July,184,2008,4.114
August,185,2008,3.833
September,186,2008,3.756
October,187,2008,3.112
November,188,2008,2.208
December,189,2008,1.745
January,190,2009,1.84
February,191,2009,1.975
March,192,2009,2.011
April,193,2009,2.102
May,194,2009,2.316
June,195,2009,2.681
July,196,2009,2.582
August,197,2009,2.67
September,198,2009,2.609
October,199,2009,2.605
November,200,2009,2.706
December,201,2009,2.663
January,202,2010,2.769
February,203,2010,2.699
March,204,2010,2.824
April,205,2010,2.9
May,206,2010,2.89
June,207,2010,2.785
July,208,2010,2.782
August,209,2010,2.783
September,210,2010,2.757
October,211,2010,2.853
November,212,2010,2.913
December,213,2010,3.048
January,214,2011,3.148
February,215,2011,3.264
March,216,2011,3.615
April,217,2011,3.852
May,218,2011,3.96
June,219,2011,3.735
July,220,2011,3.705
August,221,2011,3.696
September,222,2011,3.667
October,223,2011,3.506
November,224,2011,3.443
December,225,2011,3.326
January,226,2012,3.44
February,227,2012,3.64
March,228,2012,3.907
April,229,2012,3.958
May,230,2012,3.791
June,231,2012,3.596
July,232,2012,3.498
August,233,2012,3.78
September,234,2012,3.91
October,235,2012,3.812
November,236,2012,3.521
December,237,2012,3.381
January,238,2013,3.391
February,239,2013,3.736
March,240,2013,3.779
April,241,2013,3.638
May,242,2013,3.675
June,243,2013,3.689
July,244,2013,3.661
August,245,2013,3.645
September,246,2013,3.604
October,247,2013,3.42
November,248,2013,3.322
December,249,2013,3.357
January,250,2014,3.392
February,251,2014,3.434
March,252,2014,3.606
April,253,2014,3.735
May,254,2014,3.75
June,255,2014,3.766
July,256,2014,3.688
August,257,2014,3.565
September,258,2014,3.484
October,259,2014,3.255
November,260,2014,2.997
December,261,2014,2.632
January,262,2015,2.208
February,263,2015,2.301
March,264,2015,2.546
April,265,2015,2.555
May,266,2015,2.802
June,267,2015,2.885
July,268,2015,2.88
August,269,2015,2.726
September,270,2015,2.462
October,271,2015,2.387
November,272,2015,2.26
December,273,2015,2.144
January,274,2016,2.057
February,275,2016,1.872
March,276,2016,2.071
April,277,2016,2.216
May,278,2016,2.371
June,279,2016,2.467
July,280,2016,2.345
August,281,2016,2.284
September,282,2016,2.327
October,283,2016,2.359
November,284,2016,2.295
December,285,2016,2.366
January,286,2017,2.458
February,287,2017,2.416
March,288,2017,2.437
April,289,2017,2.528
May,290,2017,2.503
June,291,2017,2.46
July,292,2017,2.414
August,293,2017,2.494
September,294,2017,2.761
October,295,2017,2.621
November,296,2017,2.678
December,297,2017,2.594
January,298,2018,2.671
February,299,2018,2.705
