State, International_Students,USDollars,Jobs,lat,long
Alabama,9549,262.9,2850,32.806671,-86.791130
Alaska,419,10.8,84,61.370716,-152.404419
Arizona,22670,686,9475,33.729759,-111.431221
Arkansas,6455,160.4,1174,34.969704,-92.373123
California,156879,6000,70131,36.116203,-119.681564
Colorado,11527,429.4,5950,39.059811,-105.311104
Connecticut,14711,585.1,6331,41.597782,-72.755371
Delaware,5664,160.2,1859,39.318523,-75.507141
District of Columbia ,12204,554.2,6077,38.897438,-77.026817
Florida,45718,1400,16493,27.766279,-81.686783
Georgia,21510,747,10283,33.040619,-83.643074
Hawaii,3855,111.4,1040,21.094318,-157.498337
Idaho,3733,94.4,978,44.240459,-114.478828
Illinois,52225,1800,24771,40.349457,-88.986137
Indiana,30600,1000,12632,39.849426,-86.258278
Iowa,12488,378.5,3721,42.011539,-93.210526
Kansas,10231,261.2,2696,38.526600,-96.726486
Kentucky,7832,227.7,1958,37.668140,-84.670067
Louisiana,7698,227.9,2892,31.169546,-91.867805
Maine,1341,53.3,467,44.693947,-69.381927
Maryland,19501,679.4,8548,39.063946,-76.802101
Massachusetts,62926,2700,36679,42.230171,-71.530106
Michigan,34296,1100,14444,43.326618,-84.536095
Minnesota,15389,457.6,4465,45.694454,-93.900192
Mississippi,3765,87.1,907,32.741646,-89.678696
Missouri,23261,706.1,8141,38.456085,-92.288368
Montana,1720,52.8,553,46.921925,-110.454353
Nebraska,6089,170.4,1780,41.125370,-98.268082
Nevada,2901,78.3,881,38.313515,-117.055374
New Hampshire,4671,173.3,2067,43.452492,-71.563896
New Jersey ,22708,790.2,9943,40.298904,-74.521011
New Mexico,3595,93,967,34.840515,-106.248482
New York,118424,4600,55851,42.165726,-74.948051
North Carolina ,20112,608.7,8139,35.630066,-79.806419
North Dakota,2393,52.9,529,47.528912,-99.784012
Ohio,38680,1200,14680,40.388783,-82.764915
Oklahoma,9789,289.4,3099,35.565342,-96.928917
Oregon,13209,471.6,5374,44.572021,-122.070938
Pennsylvania,51129,2000,27971,40.590752,-77.209755
Rhode Island,5378,235.2,2484,41.680893,-71.511780
South Carolina,6636,201.8,2259,33.856892,-80.945007
South Dakota,2108,39.6,309,44.299782,-99.438828
Tennessee,9957,333.2,4501,35.747845,-86.692345
Texas,85116,2100,27232,31.054487,-97.563461
Utah,8520,201,2275,40.150032,-111.862434
Vermont,1767,83.1,850,44.045876,-72.710686
Virginia,20400,688.3,9118,37.769337,-78.169968
Washington,27801,841.8,8047,47.400902,-121.490494
West Virginia,4192,121.9,1102,38.491226,-80.954453
Wisconsin,13220,396.3,5043,44.268543,-89.616508
Wyoming,1155,24.7,232,42.755966,-107.302490
